Tamanho ,Compara��es ,Trocas ,Tempo(ms)
   1000 ,     499464 ,     0 ,        2
   1000 ,       9817 ,  4557 ,        0
   1000 ,     499492 ,   503 ,        1
     25 ,        264 ,     0 ,        0
     25 ,        101 ,    27 ,        0
     25 ,        300 ,    16 ,        0
     50 ,       1189 ,     0 ,        0
     50 ,        218 ,    80 ,        0
     50 ,       1217 ,    28 ,        0
    100 ,       4914 ,     0 ,        0
    100 ,        580 ,   226 ,        0
    100 ,       4942 ,    53 ,        0
    250 ,      31089 ,     0 ,        0
    250 ,       2466 ,   936 ,        0
    250 ,      31117 ,   128 ,        0
    500 ,     124714 ,     0 ,        0
    500 ,       5717 ,  2456 ,        0
    500 ,     124742 ,   253 ,        0
    750 ,     280839 ,     0 ,        0
    750 ,       7063 ,  3438 ,        0
    750 ,     280867 ,   378 ,        0
   1000 ,     499464 ,     0 ,        0
   1000 ,      12841 ,  6399 ,        0
   1000 ,     499492 ,   503 ,        0
   1250 ,     780589 ,     0 ,        0
   1250 ,      13173 ,  6083 ,        0
   1250 ,     780617 ,   628 ,        0
   1500 ,    1124214 ,     0 ,        0
   1500 ,      16928 ,  7248 ,        0
   1500 ,    1124242 ,   753 ,        0
